storyTitle,tarotCard,cardLabel
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/re-di-spade,Re di Spade
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/dieci-di-spade,Dieci di Spade
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/regina-di-spade,Regina di Spade
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/dieci-di-bastoni,Dieci di Bastoni
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/il-carro,Il Carro
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/lo-amore,L'Amore
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/fante-di-bastoni,Fante di Bastoni
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/il-sole,Il Sole
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/la-forza,La Forza
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/cinque-di-bastoni,Cinque di Bastoni
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/sette-di-spade,Sette di Spade
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/cinque-di-denari,Cinque di Denari
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/la-luna,La Luna
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/il-matto,Il Matto
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/tre-di-coppe,Tre di Coppe
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/la-giustizia,La Giustizia
Storia dell'Orlando pazzo per amore,http://w3id.org/italo/data/il-penduto,Il Penduto
