tarotCard,cardLabel,deck,deckName,deckDate
http://w3id.org/italo/data/re-di-spade,Re di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/dieci-di-spade,Dieci di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/regina-di-spade,Regina di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/dieci-di-bastoni,Dieci di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-carro,Il Carro,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/lo-amore,L'Amore,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/fante-di-bastoni,Fante di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-sole,Il Sole,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-forza,La Forza,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cinque-di-bastoni,Cinque di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/sette-di-spade,Sette di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cinque-di-denari,Cinque di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-luna,La Luna,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-matto,Il Matto,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/tre-di-coppe,Tre di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-giustizia,La Giustizia,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-penduto,Il Penduto,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cavaliere-di-bastoni,Cavaliere di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/asso-di-spade,Asso di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/lo-imperatore,L'Imperatore,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/nove-di-coppe,Nove di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-mondo,Il Mondo,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-torre,La Torre,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/nove-di-spade,Nove di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/lo-eremita,L'Eremita,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-giudizio,Il Giudizio,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/dieci-di-coppe,Dieci di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-ruota-della-fortuna,La Ruota della Fortuna,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-bagatto,Il Bagatto,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/asso-di-denari,Asso di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-papessa,La Papessa,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-imperatrice,L'Imperatrice,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-papa,Il Papa,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-morte,La Morte,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-temperanza,La Temperanza,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/il-diavolo,Il Diavolo,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/la-stella,La Stella,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/re-di-denari,Re di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/regina-di-denari,Regina di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cavaliere-di-denari,Cavaliere di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/fante-di-denari,Fante di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/dieci-di-denari,Dieci di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/nove-di-denari,Nove di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/otto-di-denari,Otto di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/sette-di-denari,Sette di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/sei-di-denari,Sei di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/quattro-di-denari,Quattro di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/due-di-denari,Due di Denari,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cavaliere-di-spade,Cavaliere di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/fante-di-spade,Fante di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/otto-di-spade,Otto di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/sei-di-spade,Sei di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cinque-di-spade,Cinque di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/quattro-di-spade,Quattro di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/due-di-spade,Due di Spade,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/re-di-coppe,Re di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/regina-di-coppe,Regina di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cavaliere-di-coppe,Cavaliere di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/fante-di-coppe,Fante di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/otto-di-coppe,Otto di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/sei-di-coppe,Sei di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/cinque-di-coppe,Cinque di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/due-di-coppe,Due di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/asso-di-coppe,Asso di Coppe,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/re-di-bastoni,Re di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/regina-di-bastoni,Regina di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/nove-di-bastoni,Nove di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/otto-di-bastoni,Otto di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/sette-di-bastoni,Sette di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/sei-di-bastoni,Sei di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/quattro-di-bastoni,Quattro di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/due-di-bastoni,Due di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
http://w3id.org/italo/data/asso-di-bastoni,Asso di Bastoni,http://w3id.org/italo/data/mazzo-il-castello-dei-destini-incrociati,Pierpont-Morgan Bergamo,XV secolo
