tarotCard,cardLabel,symbolicMeaning,meaningLabel
http://w3id.org/italo/data/re-di-spade,Re di Spade,http://w3id.org/italo/data/orlando-guerriero,Orlando guerriero
http://w3id.org/italo/data/dieci-di-spade,Dieci di Spade,http://w3id.org/italo/data/battaglia-destino_bellicoso,Storia bellicosa di Orlando
http://w3id.org/italo/data/regina-di-spade,Regina di Spade,http://w3id.org/italo/data/angelica-amata,Angelica amata da Orlando
http://w3id.org/italo/data/dieci-di-bastoni,Dieci di Bastoni,http://w3id.org/italo/data/bosco-amore,Bosco dell'amore
http://w3id.org/italo/data/il-carro,Il Carro,http://w3id.org/italo/data/angelica_incede-oggetto_di_amore_inseguito,Angelica oggetto d'amore inseguito
http://w3id.org/italo/data/lo-amore,L'Amore,http://w3id.org/italo/data/amore_angelica_e_medoro-amore_non_corrisposto,Amore non corrisposto
http://w3id.org/italo/data/fante-di-bastoni,Fante di Bastoni,http://w3id.org/italo/data/medoro-amante,Amante
http://w3id.org/italo/data/il-sole,Il Sole,http://w3id.org/italo/data/amorino_volante-intelletto_fuggente_di_orlando,Orlando perde la ragione
http://w3id.org/italo/data/la-forza,La Forza,http://w3id.org/italo/data/orlando_feroce-violenza,Violenza
http://w3id.org/italo/data/cinque-di-bastoni,Cinque di Bastoni,http://w3id.org/italo/data/schianto_dei_tronchi_violenza,Violenza
http://w3id.org/italo/data/sette-di-spade,Sette di Spade,http://w3id.org/italo/data/durlindana-abbandono_destino_bellicoso,Abbandono del destino bellicoso
http://w3id.org/italo/data/cinque-di-denari,Cinque di Denari,http://w3id.org/italo/data/energie_e_beni-spreco,Spreco
http://w3id.org/italo/data/la-luna,La Luna,http://w3id.org/italo/data/luna-sconfitta,Sconfitta
http://w3id.org/italo/data/il-matto,Il Matto,http://w3id.org/italo/data/orlando-pazzia,Pazzia di Orlando
http://w3id.org/italo/data/tre-di-coppe,Tre di Coppe,http://w3id.org/italo/data/ampolla-custodia_della_ragione,Custodia della ragione
http://w3id.org/italo/data/la-giustizia,La Giustizia,http://w3id.org/italo/data/cavalieri-recupero_della_ragione,Recupero della ragione
http://w3id.org/italo/data/il-penduto,Il Penduto,http://w3id.org/italo/data/orlando-armonia,Armonia interiore
