tarotCard,cardLabel,golemNarrativeType,textualAnchor
http://w3id.org/italo/data/re-di-spade,Re di Spade,https://w3id.org/golem/ontologyG1_Character,Orlando paladino che mulinava la sua Durlindana.
http://w3id.org/italo/data/re-di-spade,Re di Spade,https://w3id.org/odi/Representation,Orlando paladino che mulinava la sua Durlindana.
http://w3id.org/italo/data/re-di-spade,Re di Spade,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,Orlando paladino che mulinava la sua Durlindana.
http://w3id.org/italo/data/dieci-di-spade,Dieci di Spade,https://w3id.org/golem/ontologyG5_Narrative_Event,E subito i nostri occhi furono come accecati dal polverone delle battaglie [...].
http://w3id.org/italo/data/dieci-di-spade,Dieci di Spade,https://w3id.org/odi/Representation,E subito i nostri occhi furono come accecati dal polverone delle battaglie [...].
http://w3id.org/italo/data/dieci-di-spade,Dieci di Spade,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,E subito i nostri occhi furono come accecati dal polverone delle battaglie [...].
http://w3id.org/italo/data/regina-di-spade,Regina di Spade,https://w3id.org/golem/ontologyG1_Character,"donna bionda, che in mezzo alle lame affilate e alle piastre di ferro affaccia l'inafferrabile sorriso d'un gioco sensuale, noi riconoscemmo Angelica, la maga venuta dal Catai per la rovina delle armate franche [...]."
http://w3id.org/italo/data/regina-di-spade,Regina di Spade,https://w3id.org/odi/Representation,"donna bionda, che in mezzo alle lame affilate e alle piastre di ferro affaccia l'inafferrabile sorriso d'un gioco sensuale, noi riconoscemmo Angelica, la maga venuta dal Catai per la rovina delle armate franche [...]."
http://w3id.org/italo/data/regina-di-spade,Regina di Spade,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,"donna bionda, che in mezzo alle lame affilate e alle piastre di ferro affaccia l'inafferrabile sorriso d'un gioco sensuale, noi riconoscemmo Angelica, la maga venuta dal Catai per la rovina delle armate franche [...]."
http://w3id.org/italo/data/dieci-di-bastoni,Dieci di Bastoni,https://w3id.org/golem/ontologyG13_Narrative_Location,"Vedemmo la foresta schiudersi malvolentieri all'avanzare del campione [...] Il bosco dell'amore, Orlando, non é luogo per te!"
http://w3id.org/italo/data/dieci-di-bastoni,Dieci di Bastoni,https://w3id.org/odi/Representation,"Vedemmo la foresta schiudersi malvolentieri all'avanzare del campione [...] Il bosco dell'amore, Orlando, non é luogo per te!"
